Temp  Hum  Soil moist  Air quality  Light intense.
Temp  Hum  Soil moist  Air quality  Light intense.
110 > 28.7      26.7      680      18.0      25.0
111 > 28.7      26.7      680      18.0      25.0
112 > 28.7      26.7      680      18.0      25.0
113 > 28.7      26.7      680      18.0      25.0
114 > 28.7      26.7      680      18.0      25.0
115 > 28.7      26.7      680      18.0      25.0
116 > 28.7      26.7      680      19.0      25.0
117 > 28.7      26.7      680      19.0      25.0
118 > 28.7      26.7      680      19.0      25.0
119 > 28.7      26.7      680      19.0      25.0
120 > 28.7      26.7      680      19.0      25.0
121 > 28.7      26.7      680      19.0      25.0
122 > 28.7      26.7      679      19.0      25.0
123 > 28.7      26.7      679      18.0      25.0
124 > 28.7      26.7      679      18.0      25.0
125 > 28.7      26.7      679      18.0      25.0
126 > 28.7      26.7      679      18.0      25.0
127 > 28.7      26.7      679      18.0      25.0
128 > 28.7      26.7      679      18.0      25.0
129 > 28.7      26.7      680      18.0      25.0
130 > 28.7      26.7      680      18.0      25.0
131 > 28.7      26.7      680      18.0      25.83
132 > 28.7      26.7      680      18.0      25.83
133 > 28.7      26.7      680      18.0      25.83
134 > 28.7      26.7      680      18.0      25.83
135 > 28.7      26.7      680      18.0      25.83
136 > 28.7      26.7      679      18.0      25.83
137 > 28.7      26.7      679      18.0      25.83
138 > 28.7      26.7      679      18.0      25.0
139 > 28.7      26.7      679      18.0      25.0
140 > 28.7      26.7      679      18.0      25.0
141 > 28.7      26.7      679      18.0      25.0
142 > 28.7      26.8      679      18.0      25.0
143 > 28.7      26.8      678      18.0      25.0
144 > 28.7      26.8      678      18.0      25.0
145 > 28.7      26.8      678      18.0      25.83
146 > 28.7      26.8      678      18.0      25.83
147 > 28.7      26.8      678      18.0      25.83
148 > 28.7      26.8      678      18.0      25.83
149 > 28.7      26.8      678      18.0      25.83
150 > 28.7      26.8      680      18.0      25.83
151 > 28.7      26.8      680      18.0      25.83
152 > 28.7      26.8      680      18.0      25.83
153 > 28.7      26.8      680      18.0      25.83
154 > 28.7      26.8      680      18.0      25.83
155 > 28.7      26.8      680      18.0      25.83
156 > 28.7      26.7      680      18.0      25.83
157 > 28.7      26.7      679      18.0      25.83
158 > 28.7      26.7      679      18.0      25.83
159 > 28.7      26.7      679      18.0      25.0
160 > 28.7      26.7      679      18.0      25.0
161 > 28.7      26.7      679      18.0      25.0
162 > 28.7      26.7      679      18.0      25.0
163 > 28.7      26.7      679      18.0      25.0
164 > 28.7      26.7      678      18.0      25.0
165 > 28.7      26.7      678      18.0      25.0
166 > 28.7      26.7      678      18.0      25.83
167 > 28.7      26.7      678      18.0      25.83
168 > 28.7      26.7      678      18.0      25.83
169 > 28.7      26.7      678      18.0      25.83
170 > 28.7      26.7      678      18.0      25.83
171 > 28.7      26.7      679      18.0      25.83
172 > 28.7      26.7      679      18.0      25.83
173 > 28.7      26.7      679      18.0      25.83
174 > 28.7      26.7      679      18.0      25.83
175 > 28.7      26.7      679      18.0      25.83
176 > 28.7      26.7      679      18.0      25.83
177 > 28.7      26.6      679      18.0      25.83
178 > 28.7      26.6      679      18.0      25.83
179 > 28.7      26.6      679      18.0      25.83
180 > 28.7      26.6      679      18.0      25.0
181 > 28.7      26.6      679      18.0      25.0
182 > 28.7      26.6      679      18.0      25.0
183 > 28.7      26.6      679      18.0      25.0
184 > 28.7      26.6      679      18.0      25.0
185 > 28.7      26.6      678      18.0      25.0
186 > 28.7      26.6      678      18.0      25.0
187 > 28.7      26.6      678      18.0      25.0
188 > 28.7      26.6      678      18.0      25.0
189 > 28.7      26.6      678      18.0      25.0
190 > 28.7      26.6      678      18.0      25.0
191 > 28.7      26.6      678      18.0      25.0
192 > 28.7      26.6      679      18.0      25.0
193 > 28.7      26.6      679      18.0      25.0
194 > 28.7      26.6      679      18.0      25.0
195 > 28.7      26.6      679      18.0      25.0
196 > 28.7      26.6      679      18.0      25.0
197 > 28.7      26.6      679      18.0      25.0
198 > 28.7      26.6      679      18.0      25.0
199 > 28.7      26.6      679      18.0      25.0
200 > 28.7      26.6      679      18.0      25.0
201 > 28.7      26.6      679      18.0      25.0
202 > 28.7      26.6      679      18.0      25.0
203 > 28.7      26.6      679      18.0      25.0
204 > 28.7      26.6      679      18.0      25.0
205 > 28.7      26.6      679      18.0      25.0
206 > 28.7      26.6      679      18.0      25.0
207 > 28.7      26.6      679      18.0      25.0
208 > 28.7      26.6      679      18.0      25.0
209 > 28.7      26.6      679      18.0      25.0
210 > 28.7      26.6      679      18.0      25.0
211 > 28.7      26.6      679      18.0      25.0
212 > 28.7      26.6      679      18.0      25.0
213 > 28.7      26.6      678      18.0      25.0
214 > 28.7      26.6      678      18.0      25.0
215 > 28.7      26.6      678      18.0      25.0
216 > 28.7      26.6      678      18.0      25.0
217 > 28.7      26.6      678      18.0      25.0
218 > 28.7      26.6      678      18.0      25.0
219 > 28.7      26.7      678      18.0      25.0
220 > 28.7      26.7      677      18.0      25.0
221 > 28.7      26.7      677      18.0      25.0
222 > 28.7      26.7      677      18.0      25.0
223 > 28.7      26.7      677      18.0      25.0
224 > 28.7      26.7      677      18.0      25.0
225 > 28.7      26.7      677      18.0      25.0
226 > 28.7      26.7      677      18.0      25.0
227 > 28.7      26.7      679      18.0      25.0
228 > 28.7      26.7      679      18.0      25.0
229 > 28.7      26.7      679      18.0      25.0
230 > 28.7      26.7      679      18.0      25.0
231 > 28.7      26.7      679      18.0      25.0
232 > 28.7      26.7      679      18.0      25.0
233 > 28.7      26.7      679      18.0      25.0
234 > 28.7      26.7      678      18.0      25.0
235 > 28.7      26.7      678      18.0      25.0
236 > 28.7      26.7      678      18.0      25.83
237 > 28.7      26.7      678      18.0      25.83
238 > 28.7      26.7      678      18.0      25.83
239 > 28.7      26.7      678      18.0      25.83
240 > 28.7      26.7      678      18.0      25.83
241 > 28.7      26.7      678      18.0      25.83
242 > 28.7      26.7      678      18.0      25.83
243 > 28.7      26.7      678      18.0      25.83
244 > 28.7      26.7      678      18.0      25.83
245 > 28.7      26.7      678      18.0      25.83
246 > 28.7      26.7      678      18.0      25.83
247 > 28.7      26.7      678      18.0      25.83
248 > 28.7      26.7      678      18.0      25.83
249 > 28.7      26.7      678      18.0      25.83
250 > 28.7      26.7      678      18.0      25.0
251 > 28.7      26.7      678      18.0      25.0
252 > 28.7      26.7      678      18.0      25.0
253 > 28.7      26.7      678      18.0      25.0
254 > 28.7      26.6      678      18.0      25.0
255 > 28.7      26.6      679      18.0      25.0
256 > 28.7      26.6      679      18.0      25.0
257 > 28.7      26.6      679      18.0      25.83
258 > 28.7      26.6      679      18.0      25.83
259 > 28.7      26.6      679      18.0      25.83
260 > 28.7      26.6      679      18.0      25.83
261 > 28.7      26.6      679      18.0      25.83
262 > 28.7      26.6      678      18.0      25.83
263 > 28.7      26.6      678      18.0      25.83
264 > 28.7      26.6      678      18.0      25.0
265 > 28.7      26.6      678      18.0      25.0
266 > 28.7      26.6      678      18.0      25.0
267 > 28.7      26.6      678      18.0      25.0
268 > 28.7      26.6      678      18.0      25.0
269 > 28.7      26.6      679      18.0      25.0
270 > 28.7      26.6      679      18.0      25.0
271 > 28.7      26.6      679      18.0      25.83
272 > 28.7      26.6      679      18.0      25.83
273 > 28.7      26.6      679      18.0      25.83
274 > 28.7      26.6      679      18.0      25.83
275 > 28.7      26.6      679      18.0      25.83
276 > 28.7      26.6      679      18.0      25.83
277 > 28.7      26.6      679      18.0      25.83
278 > 28.7      26.6      679      18.0      25.0
279 > 28.7      26.6      679      18.0      25.0
280 > 28.7      26.6      679      18.0      25.0
281 > 28.7      26.6      679      18.0      25.0
282 > 28.7      26.6      679      18.0      25.0
283 > 28.7      26.6      678      18.0      25.0
284 > 28.7      26.6      678      18.0      25.0
285 > 28.7      26.6      678      18.0      25.0
286 > 28.7      26.6      678      18.0      25.0
287 > 28.7      26.6      678      18.0      25.0
288 > 28.7      26.6      678      18.0      25.0
Temp  Hum  Soil moist  Air quality  Light intense.
Temp  Hum  Soil moist  Air quality  Light intense.
289 > 28.6      26.6      679      18.0      25.0
289 > 28.6      26.7      679      18.0      25.83
Temp  Hum  Soil moist  Air quality  Light intense.
290 > 28.7      26.6      679      18.0      25.0
Temp  Hum  Soil moist  Air quality  Light intense.
291 > 28.7      26.4      680      18.0      25.83
292 > 28.7      26.4      680      18.0      25.0
293 > 28.7      26.4      678      18.0      25.0
294 > 28.7      26.4      679      18.0      25.83
